2026-09-11T13:22:29.300Z [env] 6 variaveis carregadas de .env (valores nao exibidos)
2026-09-11T13:22:29.300Z [db] lendo em modo somente-leitura: /opt/erp-wake/data/app.db
2026-09-11T13:22:29.322Z [db] 2318 produtos ativos; CD=25 tabela=74 promocao=10365 CISS empresa=2 local=2
2026-09-11T13:22:29.322Z [db] intervalo produtoVarianteId da whitelist: 278078..283202
2026-09-11T13:22:29.323Z [auth] token Wake: env; token CISS: db (valores nunca exibidos)
2026-09-11T13:22:29.326Z [wake] GET /produtos CD=25 intervalo 278078..283202
2026-09-11T13:24:33.601Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=281546 -> 200 (rate-limit restante=118)
2026-09-11T13:24:35.626Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=281596 -> 200 (rate-limit restante=117)
2026-09-11T13:24:37.600Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=281646 -> 200 (rate-limit restante=116)
2026-09-11T13:24:39.608Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=281696 -> 200 (rate-limit restante=115)
2026-09-11T13:24:41.640Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=281746 -> 200 (rate-limit restante=114)
2026-09-11T13:24:43.617Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=281796 -> 200 (rate-limit restante=113)
2026-09-11T13:24:45.604Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=281846 -> 200 (rate-limit restante=112)
2026-09-11T13:24:47.633Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=281896 -> 200 (rate-limit restante=111)
2026-09-11T13:24:49.615Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=281946 -> 200 (rate-limit restante=110)
2026-09-11T13:24:51.637Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=281996 -> 200 (rate-limit restante=109)
2026-09-11T13:24:53.631Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=282046 -> 200 (rate-limit restante=108)
2026-09-11T13:24:55.632Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=282096 -> 200 (rate-limit restante=107)
2026-09-11T13:24:57.621Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=282147 -> 200 (rate-limit restante=106)
